,gender,age,occupation_id,cp,occupation
0,F,1,10,48067,K-12 student
1,F,1,10,48067,K-12 student
2,F,1,10,48067,K-12 student
3,M,1,10,48073,K-12 student
4,M,1,10,48073,K-12 student
5,M,1,10,48073,K-12 student
6,F,1,10,10562,K-12 student
7,F,1,10,10562,K-12 student
8,F,1,10,10562,K-12 student
9,F,1,10,01748,K-12 student
10,F,1,10,01748,K-12 student
11,F,1,10,01748,K-12 student
12,F,1,10,54467,K-12 student
13,F,1,10,54467,K-12 student
14,F,1,10,54467,K-12 student
15,F,1,10,19390,K-12 student
16,F,1,10,19390,K-12 student
17,F,1,10,19390,K-12 student
18,F,1,10,77515,K-12 student
19,F,1,10,77515,K-12 student
20,F,1,10,77515,K-12 student
21,M,1,10,51537,K-12 student
22,M,1,10,51537,K-12 student
23,M,1,10,51537,K-12 student
24,F,1,10,29146,K-12 student
25,F,1,10,29146,K-12 student
26,F,1,10,29146,K-12 student
27,F,1,10,25801,K-12 student
28,F,1,10,25801,K-12 student
29,F,1,10,25801,K-12 student
30,M,18,10,04576,K-12 student
31,M,18,10,04576,K-12 student
32,M,18,10,04576,K-12 student
33,M,1,10,08035,K-12 student
34,M,1,10,08035,K-12 student
35,M,1,10,08035,K-12 student
36,M,18,10,55419,K-12 student
37,M,18,10,55419,K-12 student
38,M,18,10,55419,K-12 student
39,F,18,10,55306,K-12 student
40,F,18,10,55306,K-12 student
41,F,18,10,55306,K-12 student
42,M,18,10,55303,K-12 student
43,M,18,10,55303,K-12 student
44,M,18,10,55303,K-12 student
45,F,1,10,55082,K-12 student
46,F,1,10,55082,K-12 student
47,F,1,10,55082,K-12 student
48,F,1,10,55068,K-12 student
49,F,1,10,55068,K-12 student
50,F,1,10,55068,K-12 student
51,F,1,10,55104,K-12 student
52,F,1,10,55104,K-12 student
53,F,1,10,55104,K-12 student
54,M,1,10,55345,K-12 student
55,M,1,10,55345,K-12 student
56,M,1,10,55345,K-12 student
57,M,18,10,55421,K-12 student
58,M,18,10,55421,K-12 student
59,M,18,10,55421,K-12 student
60,M,1,10,08534,K-12 student
61,M,1,10,08534,K-12 student
62,M,1,10,08534,K-12 student
63,F,1,10,49507,K-12 student
64,F,1,10,49507,K-12 student
65,F,1,10,49507,K-12 student
66,F,1,10,48154,K-12 student
67,F,1,10,48154,K-12 student
68,F,1,10,48154,K-12 student
69,F,1,10,49512,K-12 student
70,F,1,10,49512,K-12 student
71,F,1,10,49512,K-12 student
72,M,1,10,90004,K-12 student
73,M,1,10,90004,K-12 student
74,M,1,10,90004,K-12 student
75,M,1,10,42754,K-12 student
76,M,1,10,42754,K-12 student
77,M,1,10,42754,K-12 student
78,M,1,10,63041,K-12 student
79,M,1,10,63041,K-12 student
80,M,1,10,63041,K-12 student
81,M,18,10,02882,K-12 student
82,M,18,10,02882,K-12 student
83,M,18,10,02882,K-12 student
84,M,1,10,08820,K-12 student
85,M,1,10,08820,K-12 student
86,M,1,10,08820,K-12 student
87,M,1,10,76013,K-12 student
88,M,1,10,76013,K-12 student
89,M,1,10,76013,K-12 student
90,M,1,10,94707,K-12 student
91,M,1,10,94707,K-12 student
92,M,1,10,94707,K-12 student
93,M,1,10,49454,K-12 student
94,M,1,10,49454,K-12 student
95,M,1,10,49454,K-12 student
96,F,1,10,08820,K-12 student
97,F,1,10,08820,K-12 student
98,F,1,10,08820,K-12 student
99,M,1,10,71106,K-12 student
100,M,1,10,71106,K-12 student
101,M,1,10,71106,K-12 student
102,M,1,10,07869,K-12 student
103,M,1,10,07869,K-12 student
104,M,1,10,07869,K-12 student
105,M,1,10,76240,K-12 student
106,M,1,10,76240,K-12 student
107,M,1,10,76240,K-12 student
108,M,1,10,45244,K-12 student
109,M,1,10,45244,K-12 student
110,M,1,10,45244,K-12 student
111,M,18,10,10016,K-12 student
112,M,18,10,10016,K-12 student
113,M,18,10,10016,K-12 student
114,M,1,10,48073,K-12 student
115,M,1,10,48073,K-12 student
116,M,1,10,48073,K-12 student
117,F,1,10,77477,K-12 student
118,F,1,10,77477,K-12 student
119,F,1,10,77477,K-12 student
120,M,1,10,75040,K-12 student
121,M,1,10,75040,K-12 student
122,M,1,10,75040,K-12 student
123,M,18,10,11235,K-12 student
124,M,18,10,11235,K-12 student
125,M,18,10,11235,K-12 student
126,F,1,10,98103,K-12 student
127,F,1,10,98103,K-12 student
128,F,1,10,98103,K-12 student
129,M,1,10,80439,K-12 student
130,M,1,10,80439,K-12 student
131,M,1,10,80439,K-12 student
132,M,18,10,45904,K-12 student
133,M,18,10,45904,K-12 student
134,M,18,10,45904,K-12 student
135,M,18,10,33024,K-12 student
136,M,18,10,33024,K-12 student
137,M,18,10,33024,K-12 student
138,F,1,10,53545,K-12 student
139,F,1,10,53545,K-12 student
140,F,1,10,53545,K-12 student
141,M,1,10,70448,K-12 student
142,M,1,10,70448,K-12 student
143,M,1,10,70448,K-12 student
144,M,1,10,91326,K-12 student
145,M,1,10,91326,K-12 student
146,M,1,10,91326,K-12 student
147,F,1,10,13907,K-12 student
148,F,1,10,13907,K-12 student
149,F,1,10,13907,K-12 student
150,M,1,10,49544,K-12 student
151,M,1,10,49544,K-12 student
152,M,1,10,49544,K-12 student
153,M,1,10,48073,K-12 student
154,M,1,10,48073,K-12 student
155,M,1,10,48073,K-12 student
156,M,1,10,11803,K-12 student
157,M,1,10,11803,K-12 student
158,M,1,10,11803,K-12 student
159,M,1,10,81301,K-12 student
160,M,1,10,81301,K-12 student
161,M,1,10,81301,K-12 student
162,M,1,10,97801,K-12 student
163,M,1,10,97801,K-12 student
164,M,1,10,97801,K-12 student
165,M,1,10,97201,K-12 student
166,M,1,10,97201,K-12 student
167,M,1,10,97201,K-12 student
168,M,1,10,75082,K-12 student
169,M,1,10,75082,K-12 student
170,M,1,10,75082,K-12 student
171,M,18,10,90274,K-12 student
172,M,18,10,90274,K-12 student
173,M,18,10,90274,K-12 student
174,M,1,10,12159,K-12 student
175,M,1,10,12159,K-12 student
176,M,1,10,12159,K-12 student
177,F,1,10,04240,K-12 student
178,F,1,10,04240,K-12 student
179,F,1,10,04240,K-12 student
180,M,1,10,95926,K-12 student
181,M,1,10,95926,K-12 student
182,M,1,10,95926,K-12 student
183,F,1,10,61665,K-12 student
184,F,1,10,61665,K-12 student
185,F,1,10,61665,K-12 student
186,M,1,10,89509,K-12 student
187,M,1,10,89509,K-12 student
188,M,1,10,89509,K-12 student
189,M,1,10,95123,K-12 student
190,M,1,10,95123,K-12 student
191,M,1,10,95123,K-12 student
192,M,1,10,58078,K-12 student
193,M,1,10,58078,K-12 student
194,M,1,10,58078,K-12 student
195,M,18,10,98058,K-12 student
196,M,18,10,98058,K-12 student
197,M,18,10,98058,K-12 student
198,F,1,10,53704,K-12 student
199,F,1,10,53704,K-12 student
200,F,1,10,53704,K-12 student
201,M,1,10,08872,K-12 student
202,M,1,10,08872,K-12 student
203,M,1,10,08872,K-12 student
204,F,1,10,495321,K-12 student
205,F,1,10,495321,K-12 student
206,F,1,10,495321,K-12 student
207,M,1,10,92620,K-12 student
208,M,1,10,92620,K-12 student
209,M,1,10,92620,K-12 student
210,M,1,10,19343,K-12 student
211,M,1,10,19343,K-12 student
212,M,1,10,19343,K-12 student
213,F,1,10,94539,K-12 student
214,F,1,10,94539,K-12 student
215,F,1,10,94539,K-12 student
216,M,18,10,78230,K-12 student
217,M,18,10,78230,K-12 student
218,M,18,10,78230,K-12 student
219,F,1,10,87123,K-12 student
220,F,1,10,87123,K-12 student
221,F,1,10,87123,K-12 student
222,F,1,10,94086,K-12 student
223,F,1,10,94086,K-12 student
224,F,1,10,94086,K-12 student
225,M,1,10,98043-3621,K-12 student
226,M,1,10,98043-3621,K-12 student
227,M,1,10,98043-3621,K-12 student
228,M,18,10,97303,K-12 student
229,M,18,10,97303,K-12 student
230,M,18,10,97303,K-12 student
231,M,1,10,19116,K-12 student
232,M,1,10,19116,K-12 student
233,M,1,10,19116,K-12 student
234,M,1,10,92106,K-12 student
235,M,1,10,92106,K-12 student
236,M,1,10,92106,K-12 student
237,M,1,10,92846,K-12 student
238,M,1,10,92846,K-12 student
239,M,1,10,92846,K-12 student
240,M,1,10,94707,K-12 student
241,M,1,10,94707,K-12 student
242,M,1,10,94707,K-12 student
243,M,18,10,92704,K-12 student
244,M,18,10,92704,K-12 student
245,M,18,10,92704,K-12 student
246,M,1,10,94501,K-12 student
247,M,1,10,94501,K-12 student
248,M,1,10,94501,K-12 student
249,F,1,10,91107,K-12 student
250,F,1,10,91107,K-12 student
251,F,1,10,91107,K-12 student
252,M,1,10,90405,K-12 student
253,M,1,10,90405,K-12 student
254,M,1,10,90405,K-12 student
255,M,1,10,93111,K-12 student
256,M,1,10,93111,K-12 student
257,M,1,10,93111,K-12 student
258,M,1,10,43357,K-12 student
259,M,1,10,43357,K-12 student
260,M,1,10,43357,K-12 student
261,M,1,10,80540,K-12 student
262,M,1,10,80540,K-12 student
263,M,1,10,80540,K-12 student
264,M,18,10,92130,K-12 student
265,M,18,10,92130,K-12 student
266,M,18,10,92130,K-12 student
267,M,1,10,80014,K-12 student
268,M,1,10,80014,K-12 student
269,M,1,10,80014,K-12 student
270,M,1,10,79358,K-12 student
271,M,1,10,79358,K-12 student
